PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male
1,0,3,0.2711736617240512,0.125,0.0,0.014151057562208049,False,False,True,False,True
2,1,1,0.4722292033174164,0.125,0.0,0.13913573538264068,True,False,False,True,False
3,1,3,0.32143754712239253,0.0,0.0,0.015468569817999833,False,False,True,True,False
4,1,1,0.4345312892686604,0.125,0.0,0.10364429745562033,False,False,True,True,False
5,0,3,0.4345312892686604,0.0,0.0,0.015712553569072387,False,False,True,False,True
6,0,3,0.34656948982156316,0.0,0.0,0.01650950209357577,False,True,False,False,True
7,0,1,0.6732847449107816,0.0,0.0,0.10122885832000206,False,False,True,False,True
8,0,3,0.01985423473234481,0.375,0.16666666666666666,0.04113566043083236,False,False,True,False,True
9,1,3,0.33400351847197784,0.0,0.3333333333333333,0.021730754366528396,False,False,True,True,False
10,1,2,0.17064589092736868,0.125,0.0,0.058694292654020104,True,False,False,True,False
11,1,3,0.04498617743151546,0.125,0.16666666666666666,0.03259622914329302,False,False,True,True,False
12,1,1,0.723548630309123,0.0,0.0,0.051822148727810165,False,False,True,True,False
13,0,3,0.24604171902488062,0.0,0.0,0.015712553569072387,False,False,True,False,True
14,0,3,0.4847951746670017,0.125,0.8333333333333333,0.06104473451835265,False,False,True,False,True
15,0,3,0.17064589092736868,0.0,0.0,0.015330377421392339,False,False,True,True,False
16,1,2,0.685850716260367,0.0,0.0,0.03122992013728673,False,False,True,True,False
17,0,3,0.01985423473234481,0.5,0.16666666666666666,0.05684821399990475,False,True,False,False,True
18,1,2,0.34656948982156316,0.0,0.0,0.025374310111545468,False,False,True,False,True
19,0,3,0.38426740387031916,0.125,0.0,0.03513366015444757,False,False,True,True,False
20,1,3,0.34656948982156316,0.0,0.0,0.014102260811993537,True,False,False,True,False
21,0,2,0.4345312892686604,0.0,0.0,0.050748620223090936,False,False,True,False,True
22,1,2,0.4219653179190751,0.0,0.0,0.025374310111545468,False,False,True,False,True
23,1,3,0.18321186227695402,0.0,0.0,0.015671954672893913,False,True,False,True,False
24,1,1,0.34656948982156316,0.0,0.0,0.06929138530460494,False,False,True,False,True
25,0,3,0.09525006282985675,0.375,0.16666666666666666,0.04113566043083236,False,False,True,True,False
26,1,3,0.4722292033174164,0.125,0.8333333333333333,0.06126431989431795,False,False,True,True,False
27,0,3,0.34656948982156316,0.0,0.0,0.014102260811993537,True,False,False,False,True
